atlas_concept_id	atlas_concept_name	atlas_concept_class	atlas_task_count	relation_count	match_type	hed_process_id	hed_process_name	notes
trm_557b4844ca14d	emotional reappraisal			3	close	hed_cognitive_reappraisal	Cognitive reappraisal	Primary match from hed_process_to_atlas.tsv
trm_557b4855a12b4	emotional self-evaluation		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a1d1	emotional suppression	ctp_C8	1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b67d	empathy	ctp_C8	4	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b8e5	encoding	ctp_C5	3	11	exact	hed_encoding	Encoding	Primary match from hed_process_to_atlas.tsv
trm_YYKKwXb10F0XQ	enumeration				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b8f0	episodic buffer	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_5a2852438fa35	episodic future thinking		1	5	none			No corresponding process in the 172-process catalog
trm_5a28604b01314	episodic intention			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a1e8	episodic learning	ctp_C5			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a1f4	episodic memory	ctp_C5	6	6	exact	hed_episodic_memory	Episodic memory	Primary match from hed_process_to_atlas.tsv
trm_5a2860fa6b59e	episodic planning			1	none			No corresponding process in the 172-process catalog
trm_5a285482e89c2	episodic prediction			1	none			No corresponding process in the 172-process catalog
trm_5a285423171d9	episodic simulation		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a20c	error detection	ctp_C4	7	1	exact	hed_error_detection	Error detection	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a218	error signal				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a223	error trapping				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a22f	excitation	ctp_C8	1		none			No corresponding process in the 172-process catalog
trm_56006cb5a61ac	exogenous attention			2	none			No corresponding process in the 172-process catalog
trm_4ebfe9a465449	expectancy	ctp_C10		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a25e	expertise	ctp_C5			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a269	explicit knowledge			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a275	explicit learning	ctp_C5		6	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a281	explicit memory	ctp_C5	1	2	none			No corresponding process in the 172-process catalog
trm_523ca883711cc	externalizing		2		none			No corresponding process in the 172-process catalog
trm_4fe8edc62f613	extinction			5	exact	hed_extinction	Extinction	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a28c	extrinsic motivation	ctp_C10			none			No corresponding process in the 172-process catalog
trm_55c6f87595b39	face maintenance		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a300	face perception	ctp_C1	1	2	exact	hed_face_perception	Face perception	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a30c	face recognition	ctp_C5	6	3	close	hed_face_identity_recognition	Face identity recognition	Primary match from hed_process_to_atlas.tsv
trm_5595bd6c61d78	facial age recognition		1	1	none			No corresponding process in the 172-process catalog
trm_5595bd89d77c6	facial attractiveness recognition		1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a318	facial expression	ctp_C8			none			No corresponding process in the 172-process catalog
trm_5595bd2b92003	facial happiness recognition		1	2	none			No corresponding process in the 172-process catalog
trm_5595bde6b2e95	facial recognition			6	none			No corresponding process in the 172-process catalog
trm_5595bda0c5dc3	facial trustworthiness recognition		1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a323	false memory	ctp_C5	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b8fc	familiarity	ctp_C5		1	exact	hed_familiarity	Familiarity	Primary match from hed_process_to_atlas.tsv
trm_yFJ2nfBcwqdpZ	far spatial distance			1	none			No corresponding process in the 172-process catalog
trm_nDqGvtJMseYIJ	far temporal distance			1	none			No corresponding process in the 172-process catalog
trm_52583e52d5e7a	fatigue				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b689	fear	ctp_C8	6	2	none			No corresponding process in the 172-process catalog
trm_557b4891e9265	feature comparison	ctp_C3	2	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b9ad	feature detection	ctp_C1	1	6	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a32f	feature extraction	ctp_C1		1	none			No corresponding process in the 172-process catalog
trm_502954662d63e	feature integration			1	none			No corresponding process in the 172-process catalog
trm_4fea18ec76bc9	feature search			1	none			No corresponding process in the 172-process catalog
trm_5524572b66764	feature-based attention			1	exact	hed_feature_based_attention	Feature-based attention	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a33b	feedback processing		1	6	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b9d1	figure ground reversal	ctp_C1			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b9dd	figure ground segregation	ctp_C1	2	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a352	filtering				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a35e	fixation	ctp_C2		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a36a	fixed action patterns				none			No corresponding process in the 172-process catalog
trm_mfw76CN2KbdFj	flicker fusion threshold				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a375	fluid intelligence	ctp_C3	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a381	focus	ctp_C2			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a38d	focused attention	ctp_C2	1		none			No corresponding process in the 172-process catalog
trm_BOD29Hs9qySTD	Food cue reactivity		2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b908	forgetting	ctp_C5	4	2	exact	hed_forgetting	Forgetting	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a398	form perception	ctp_C1	2	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b636	framing	ctp_C3			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b695	frustration	ctp_C8	2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a3a4	functional fixedness	ctp_C3			none			No corresponding process in the 172-process catalog
trm_XGQFZkDhrRRmm	future time		5	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a3d2	gaze		2	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a3ea	generalization	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a3f6	generic knowledge	ctp_C3	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a402	gestalt	ctp_C1			none			No corresponding process in the 172-process catalog
trm_4fb3f4d58aeb0	Gestalt grouping		2	3	none			No corresponding process in the 172-process catalog
trm_5021873f37abc	global precedence		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a419	goal	ctp_C4			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a425	goal formation	ctp_C4			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a431	goal maintenance	ctp_C4	3	3	exact	hed_goal_maintenance	Goal maintenance	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a43c	goal management	ctp_C4		1	none			No corresponding process in the 172-process catalog
trm_5519b5f181edd	goal selection			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a448	goal state	ctp_C4			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b756	grammatical encoding	ctp_C6	2	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b76e	grapheme	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b779	graphemic buffer	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b6a1	grief	ctp_C8			none			No corresponding process in the 172-process catalog
trm_OogXjpJkhH7c3	Grit		1	2	none			No corresponding process in the 172-process catalog
trm_52583d9f2ad98	guilt		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b9e9	gustation processing	ctp_C1	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a460	gustatory learning	ctp_C5		2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a46b	gustatory memory	ctp_C5			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a477	gustatory perception	ctp_C1			exact	hed_gustatory_perception	Gustatory perception	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a483	habit	ctp_C5		1	exact	hed_habit	Habit	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a48e	habit learning	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a49a	habit memory	ctp_C5			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a4a6	hallucination				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b6ad	happiness	ctp_C8	3		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a4b2	hedonism				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a4be	heuristic search	ctp_C3			none			No corresponding process in the 172-process catalog
trm_55c298bbe56d5	high energy density food recognition		2	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a4c9	hill climbing	ctp_C3			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a4e1	humiliation	ctp_C8			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a4ed	humor	ctp_C8			none			No corresponding process in the 172-process catalog
trm_523c7c13bc55f	hyperactivity		6		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a4f9	iconic memory	ctp_C5	3	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b7b5	illocutionary force	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a504	imageability		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a510	imagery				none			No corresponding process in the 172-process catalog
trm_4f4511e519b53	imagination		4	3	none			No corresponding process in the 172-process catalog
trm_AGb7jCLHtJ1sj	imagined emotional pain			1	none			No corresponding process in the 172-process catalog
trm_LWGVPX20JubrD	imagined pain			2	none			No corresponding process in the 172-process catalog
trm_MIl7ueSc43aen	imagined physical pain			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a51c	implicit knowledge		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a527	implicit learning			1	none			No corresponding process in the 172-process catalog
trm_565bce2791089	implicit learning			7	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a533	implicit memory	ctp_C5	1	2	exact	hed_implicit_memory	Implicit memory	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a53f	imprinting				none			No corresponding process in the 172-process catalog
trm_50070dce14554	impulsivity		17	1	none			No corresponding process in the 172-process catalog
trm_523c7c886b614	Inappropriate speech		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a54b	inattention	ctp_C2	4	1	none			No corresponding process in the 172-process catalog
trm_4fe3861edc919	inattentional blindness		1	2	none			No corresponding process in the 172-process catalog
trm_QehTtEcwPuRtK	incentive salience			1	exact	hed_incentive_salience	Incentive salience	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a556	incidental learning	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a562	incubation	ctp_C3			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a56e	indignation	ctp_C8			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a579	induction				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a590	inductive reasoning	ctp_C3	1	2	exact	hed_inductive_reasoning	Inductive reasoning	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a5ed	inference	ctp_C3		9	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a613	inhibition	ctp_C4	5	4	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a61f	inhibition of return	ctp_C4	2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a62b	insight	ctp_C3			exact	hed_insight	Insight	Primary match from hed_process_to_atlas.tsv
trm_ZwNxfQhvF1jVU	insomnia				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a637	instinct		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a642	instrumental conditioning	ctp_C5	1	2	exact	hed_instrumental_conditioning	Instrumental conditioning	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a64e	instrumental learning	ctp_C5	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a65a	integration				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a666	intelligence	ctp_C3	6		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a67d	intention		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a689	intentional forgetting	ctp_C5		1	close	hed_directed_forgetting	Directed forgetting	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a695	intentional learning	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a6a1	intentionality				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a6ad	interference		1	1	none			No corresponding process in the 172-process catalog
trm_551f11bb8f6a8	interference control		5	1	exact	hed_interference_control	Interference control	Primary match from hed_process_to_atlas.tsv
trm_4c3e04d656f06	interference resolution	ctp_C4	1	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a6b9	intermediate-term memory	ctp_C5		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a6c5	internal speech	ctp_C6			none			No corresponding process in the 172-process catalog
trm_523ca7e778c50	internalizing		2		none			No corresponding process in the 172-process catalog
trm_4fe39e4388409	interoception		2	3	none			No corresponding process in the 172-process catalog
trm_WoLBai9ycl8yE	Interoceptive awareness		1		exact	hed_interoceptive_awareness	Interoceptive awareness	Primary match from hed_process_to_atlas.tsv
trm_4e5506161998c	interoceptive representation			2	none			No corresponding process in the 172-process catalog
trm_30rzOgVoBsNqo	Interpersonal Conflict		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a6d0	interrogative	ctp_C6			none			No corresponding process in the 172-process catalog
trm_558c73324a6ca	intertemporal choice		4	2	exact	hed_intertemporal_choice	Intertemporal choice	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a6dc	intonation	ctp_C6	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a6e8	intrinsic motivation	ctp_C10	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a6f4	introspection				none			No corresponding process in the 172-process catalog
trm_xJ2ikQmvjMzmI	invariance				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a700	involuntary attention	ctp_C2	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a70b	irony				none			No corresponding process in the 172-process catalog
trm_523c7afe39f78	irritability		2		none			No corresponding process in the 172-process catalog
trm_4b75ed06c917d	joint attention	ctp_C2	5	1	exact	hed_joint_attention	Joint attention	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a723	judgment	ctp_C3	1	3	related	hed_probability_judgment	Probability judgment	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a72e	kinaesthetic representation		2	2	none			No corresponding process in the 172-process catalog
trm_5521a6bc4db33	kindness priming			2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a73a	kinesthesia	ctp_C1		2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a746	knowledge	ctp_C5		9	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a769	language	ctp_C6	20	15	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b7f4	language acquisition	ctp_C6	2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a775	language comprehension	ctp_C6	13	6	exact	hed_language_comprehension	Language comprehension	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a781	language learning	ctp_C6	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b802	language processing	ctp_C6	6	5	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a78d	language production	ctp_C6	6	2	exact	hed_language_production	Language production	Primary match from hed_process_to_atlas.tsv
trm_502bdc6bdaa2b	lateral masking		1	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a7bb	learning	ctp_C5	2	6	related	hed_value_learning	Value learning	Primary match from hed_process_to_atlas.tsv
trm_55b6b92c1fd76	left finger response execution		1	1	none			No corresponding process in the 172-process catalog
trm_558c7b707f606	left hand response execution		1	1	none			No corresponding process in the 172-process catalog
trm_55b6b96e77df6	left toe response execution		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a7c7	lemma	ctp_C6			none			No corresponding process in the 172-process catalog
trm_523c7ba79c2f1	lethargy		2		none			No corresponding process in the 172-process catalog
trm_502c343d20523	lexeme			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b80f	lexical access	ctp_C6	8		exact	hed_lexical_access	Lexical access	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b81b	lexical ambiguity	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a7d4	lexical encoding	ctp_C6	2	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b826	lexical processing	ctp_C6	2	4	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a7e0	lexical retrieval	ctp_C6	2	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a7ec	lexicon	ctp_C6		3	none			No corresponding process in the 172-process catalog
trm_50f3c0af04e37	life satisfaction		1		none			No corresponding process in the 172-process catalog
trm_551f0f822d95e	Limited Capacity		11	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a7f8	linguistic competence	ctp_C6	2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a803	listening		1	1	none			No corresponding process in the 172-process catalog
trm_5521a0512df9a	localization	ctp_C1		4	none			No corresponding process in the 172-process catalog
trm_50eb692db57eb	locomotion		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a80f	logic	ctp_C3	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a81b	logical reasoning	ctp_C3	7	1	none			No corresponding process in the 172-process catalog
trm_529d0d62290de	loneliness		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a833	long-term memory	ctp_C5	2	5	none			No corresponding process in the 172-process catalog
trm_5159c80c1dd24	loss		1	2	none			No corresponding process in the 172-process catalog
trm_557b48a224b95	loss anticipation		1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a83f	loss aversion	ctp_C3	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a84a	lying	ctp_C9			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ba30	maintenance	ctp_C4	5	4	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ba3c	manipulation	ctp_C4	1		exact	hed_manipulation	Manipulation	Primary match from hed_process_to_atlas.tsv
trm_s3yxeUMCHAo7j	Marital Conflict		1		none			No corresponding process in the 172-process catalog
trm_LoNlAQafora4r	Mastery Orientation		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a862	mathematical reasoning	ctp_C3	3	1	exact	hed_mathematical_reasoning	Mathematical reasoning	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a86e	meaning	ctp_C6	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a87a	mechanical reasoning	ctp_C3		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a886	melody	ctp_C1			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a891	memory	ctp_C5	4	23	related	hed_motor_memory	Motor memory	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b914	memory acquisition	ctp_C5			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b920	memory consolidation			2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b92c	memory decay		2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ba01	memory retrieval	ctp_C5	4	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b938	memory storage	ctp_C5	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b943	memory trace			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a8ed	mental arithmetic	ctp_C3	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a8fc	mental imagery	ctp_C1	1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a908	mental representation		1	7	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a914	mental rotation	ctp_C1	3		exact	hed_mental_rotation	Mental rotation	Primary match from hed_process_to_atlas.tsv
trm_GefBol2cgYv34	mentalization				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a920	metacognition			1	related	hed_metacognitive_monitoring	Metacognitive monitoring	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a92b	metacognitive skill	ctp_C5		3	none			No corresponding process in the 172-process catalog
trm_4d7fc763cf777	metacomprehension				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b94f	metamemory	ctp_C4		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a937	metaphor	ctp_C6			none			No corresponding process in the 172-process catalog
trm_P4qxFaMb6wiZ1	meter			1	none			No corresponding process in the 172-process catalog
trm_wzUYYp7Av6Unt	Mindfulness		2		none			No corresponding process in the 172-process catalog
trm_o8gXkYlb58RBV	Mindset			7	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a943	misattribution				none			No corresponding process in the 172-process catalog
trm_aCwrPX04WLjIH	Monetary loss			2	none			No corresponding process in the 172-process catalog
trm_559f0a5b4cd36	monetary reward prediction error	ctp_C3	1	2	close	hed_reward_prediction_error	Reward prediction error	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a94f	monitoring	ctp_C4	1	1	related	hed_conflict_monitoring	Conflict monitoring	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a95a	mood	ctp_C8	6		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b832	morphological processing	ctp_C6	2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b83e	morphology	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4fea25630ffb5	motion aftereffect			1	none			No corresponding process in the 172-process catalog
trm_557b48aeb7d58	motion detection	ctp_C1	1	1	none			No corresponding process in the 172-process catalog
trm_GfkAJLeHghfmp	motivational salience			3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a972	motor control	ctp_C7	26	3	related	hed_vocal_motor_control	Vocal-motor control	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a995	motor learning	ctp_C5	2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a9a1	motor planning	ctp_C7	6	1	exact	hed_motor_planning	Motor planning	Primary match from hed_process_to_atlas.tsv
trm_56a2a4dbdf127	Motor Praxis				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a9ad	motor program	ctp_C7			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a9b9	motor sequence learning	ctp_C5	1	1	exact	hed_motor_sequence_learning	Motor sequence learning	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a9c4	movement	ctp_C7			none			No corresponding process in the 172-process catalog
trm_4e31d3ba7d25b	multisensory	ctp_C1			none			No corresponding process in the 172-process catalog
trm_4e31ced566649	multisensory integration	ctp_C1	1		none			No corresponding process in the 172-process catalog
trm_502abeab4e1d8	multistable perception		1	4	none			No corresponding process in the 172-process catalog
trm_jK0qVisychW39	music cognition			3	none			No corresponding process in the 172-process catalog
trm_yeQ7crXFocNza	music perception			7	none			No corresponding process in the 172-process catalog
trm_utk2EAwtfI6x7	music semantics			2	none			No corresponding process in the 172-process catalog
trm_hsrxov4azQ6nM	music syntax			3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0a9dc	naming	ctp_C6	3	1	exact	hed_naming	Naming	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0a9e8	narrative	ctp_C6			none			No corresponding process in the 172-process catalog
trm_55c6f58e77fbe	narrative comprehension		1	2	none			No corresponding process in the 172-process catalog
trm_zECbJhkrvMYDQ	Naturalistic Biological Motion				none			No corresponding process in the 172-process catalog
trm_EibcrcPYJ86gd	Naturalistic Scenes				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aa00	navigation	ctp_C1			none			No corresponding process in the 172-process catalog
trm_BscVyjZu0vFu1	near spatial distance			2	none			No corresponding process in the 172-process catalog
trm_w3kwvBmlVXDsm	near temporal distance			1	none			No corresponding process in the 172-process catalog
trm_557b48d40d3cf	negative emotion	ctp_C8	2	3	none			No corresponding process in the 172-process catalog
trm_557b48e337218	negative feedback processing		3	2	none			No corresponding process in the 172-process catalog
trm_5521a7a1376ed	negative priming			1	none			No corresponding process in the 172-process catalog
trm_4d7fa2df05f23	neologism	ctp_C6			none			No corresponding process in the 172-process catalog
trm_51a690eeadcb7	neuroplasticity				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aa0c	nociception	ctp_C1		3	none			No corresponding process in the 172-process catalog
trm_4ffdc96dc85b7	noesis			1	none			No corresponding process in the 172-process catalog
trm_525d8f3ed78a2	noise sensitivity		2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aa23	nondeclarative knowledge				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aa2f	nondeclarative memory	ctp_C5		2	none			No corresponding process in the 172-process catalog
trm_K5YMl5L5H2Xjj	north cardinal-direction judgment			1	none			No corresponding process in the 172-process catalog
trm_0MvImupIHCn1e	north-south orientation				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aa47	novelty detection		1	1	none			No corresponding process in the 172-process catalog
trm_LDtOOxfCrEImf	numerical cognition			2	none			No corresponding process in the 172-process catalog
trm_5678a999f1c19	numerical comparison	ctp_C3	1	2	none			No corresponding process in the 172-process catalog
trm_557b48f22ba99	numerical scale judgment	ctp_C3	2		none			No corresponding process in the 172-process catalog
trm_Vn5ZVrIz7GedN	numerosity			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aa5e	object categorization				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aa6a	object centered representation			2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aa76	object detection	ctp_C1		2	none			No corresponding process in the 172-process catalog
trm_557b4904ee26d	object maintenance	ctp_C5	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aa8d	object manipulation	ctp_C7	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aaa4	object perception	ctp_C1	2	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aab0	object recognition	ctp_C1	2	5	none			No corresponding process in the 172-process catalog
trm_552185f5cda66	object-based attention	ctp_C2		1	exact	hed_object_based_attention	Object-based attention	Primary match from hed_process_to_atlas.tsv
trm_523e0419ec219	obsession		5	1	none			No corresponding process in the 172-process catalog
trm_557b491318742	oddball detection		4	4	none			No corresponding process in the 172-process catalog
trm_5159c8a5d3d13	offensive aggression		4		none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aabc	olfaction	ctp_C1		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aac8	olfactory perception	ctp_C1	5	2	exact	hed_olfactory_perception	Olfactory perception	Primary match from hed_process_to_atlas.tsv
trm_523f5f918cb2c	openness		1		none			No corresponding process in the 172-process catalog
trm_4fb2c38960950	optical illusion			5	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0aad4	orthographic lexicon	ctp_C6		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b84a	orthography	ctp_C6	1	1	none			No corresponding process in the 172-process catalog
trm_BkEqTepYc5hbf	other-reference effect			1	none			No corresponding process in the 172-process catalog
trm_4feb3f8c551cb	overt attention		2	1	none			No corresponding process in the 172-process catalog
trm_558c74b165bb1	overt naming			1	none			No corresponding process in the 172-process catalog
trm_4b65259eeee34	pain	ctp_C8	9	6	none			No corresponding process in the 172-process catalog
trm_4e6127bd91be9	pain habituation	ctp_C8	2	1	none			No corresponding process in the 172-process catalog
trm_4e61264db33d4	pain sensitization 	ctp_C8	2	1	none			No corresponding process in the 172-process catalog
